Precinct,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,CrimeNorm
71,6.836396941,171.5482195,9.083392,109.9729324,7.3750476,0.5555591,0.6111151,0.1250008,105.0979009,1.7639003,0.9166726,236.0848579,44.43084248
72,9.858697681,176.7632142,4.1352241,141.3228281,8.0081393,0.4320383,0.5863378,0.2005892,51.906321,1.4041246,2.4379307,210.9272912,38.42055267
73,9.69776381,91.58627276,8.9195608,85.9775702,6.2961605,0.2681698,0.5479992,0.104936,43.175338,1.2475726,0.3731058,147.3068377,49.82128524
75,26.90015008,231.8718115,17.5797513,282.643335,33.4405936,0.5078595,1.7384421,0.332062,79.147947,2.2853677,1.1915165,420.1755894,157.3583073
76,0.333049477,19.78911461,0.8334814,22.0819823,1.1710941,0.1899072,0.0738528,0.0211008,16.6854539,0.6277487,0.6541247,42.4706258,7.332526376
77,8.75606566,184.7395211,9.3582972,78.8406547,5.0240859,0.4049263,0.5698963,0.16497,88.4988974,1.5897107,0.5698963,185.5912312,52.16050925
78,1.472371077,110.2957571,4.0871148,83.3355782,5.0915752,0.4040933,0.3348201,0.0692731,64.4932862,1.5009179,0.796641,160.5751208,27.3744328
79,9.120328332,123.319755,11.0839737,102.1272178,7.1401412,0.7604121,0.9666256,0.2706552,139.2585296,2.3972315,0.7733005,265.4869459,50.85739543
81,6.288008883,79.99349949,6.5900466,48.6003589,3.5173262,0.2470032,0.4050853,0.1383218,56.1191377,1.2448964,0.3458045,117.534025,29.60086912
83,21.40133961,185.3023255,12.2511324,130.1474073,12.6458405,0.4250703,1.1082189,0.1669919,91.6178237,2.0798081,0.9108649,252.1729362,55.54757531
84,0.833127106,58.1361369,0.9578455,28.5934621,1.2948652,0.3636265,0.1152962,0.0177379,26.2697998,0.8248114,0.9401076,59.5283243,25.80861496
88,3.86758818,66.2765641,2.3581304,46.3826807,2.6333985,0.5321851,0.3670242,0.0734048,63.3942514,1.229531,1.0276677,118.3285955,21.39750967
90,10.88332573,100.2120571,6.7188823,125.8459607,14.4736523,0.6042678,1.007113,0.1438733,99.0423681,1.4818948,0.9783383,251.1739776,52.78710756
94,0.667022663,39.84224466,1.1920362,26.7902488,2.0707808,0.0916951,0.2827265,0.0611301,27.6689934,0.4966817,0.3056503,59.1968218,15.93202188
100,1.01847574,13.48564468,0.3264017,2.8353107,0.8184402,0.0243583,0.0633317,0.0048717,1.9291805,0.0389733,0.014615,6.0554831,6.240606525
101,1.426306405,18.65456954,0.7961038,2.3713729,1.9874364,0.045169,0.0112923,0.0056461,1.1405175,0.0846919,0.0338768,6.4873988,11.04946861
102,9.343919128,246.5976709,12.5781074,273.6465422,33.9899724,0.4362349,1.9812337,0.2362939,66.8711809,1.5086458,1.5631752,393.9383268,57.14677707
103,6.277404269,184.7380808,7.0351148,127.0709046,21.3521906,0.2194188,1.4810768,0.1371367,29.6078225,1.3576537,1.1245213,189.7286817,50.52117553
104,14.65711906,205.8114527,17.2816295,378.4562159,39.2468865,0.7646739,2.5998912,0.248519,139.9162016,4.0336547,2.3322553,586.6960279,61.07832549
105,6.700948958,293.0693562,7.5758751,102.7657218,33.3543257,0.3685561,0.2457041,0.2047534,29.3411595,1.2489956,0.6142601,176.0264814,63.5759247
106,6.98037629,153.5716989,8.6736028,146.5198544,24.0998092,0.2765075,1.2515601,0.2765075,32.4969045,1.0623708,1.0478178,216.1997374,43.33890806
107,4.482956871,247.39811,9.5474814,245.1975451,23.1569132,0.3226783,1.6893158,0.2657351,55.0451216,1.7082969,2.7712372,340.7672648,42.99213808
108,5.539842577,143.1867264,5.9881836,153.8749313,11.8083314,0.3666235,1.2679062,0.1527598,56.9793998,2.0928091,1.7872895,235.1584128,39.22871276
109,7.513881505,338.3221726,7.9176874,230.6315844,26.2533845,0.1157557,1.1112544,0.1620579,38.4308804,1.1344055,2.8244382,309.5537959,106.1710948
110,23.09161809,269.1550945,13.0494537,388.3385973,23.8692345,0.586756,2.347024,0.3520536,91.8155804,3.5440063,4.975691,530.5917242,101.7669623
111,0.81750561,125.3297472,3.3873808,72.9623987,17.8283198,0.0742847,0.2377109,0.1188555,8.8547322,0.1485693,0.2079971,104.1025306,21.26027134
112,0.984541604,72.81698759,6.0407396,164.3505916,13.3792944,0.294958,0.7904874,0.1179832,33.4600343,1.4747899,1.2978152,222.0561726,25.24840387
113,12.54794267,263.9157542,9.5342514,124.6508714,31.0121318,0.4474558,0.8432822,0.2753574,28.0004098,1.6349348,0.5162952,197.3108161,63.693618
114,24.40828703,258.6109687,7.2634854,174.466421,11.9749354,0.44616,1.1600161,0.1070784,73.9376414,1.3563265,1.8560258,273.6031813,83.30700218
115,20.65856814,219.2441196,6.6660352,207.0481993,7.7738577,0.2865058,1.528031,0.1337027,53.2709804,2.3111469,2.712255,282.7239341,77.47117124
120,9.755540291,74.77932702,5.1585474,48.3287521,12.1070485,0.372907,0.2486047,0.0497209,16.2960375,0.4350582,0.3480466,83.5808973,36.58218037
121,1.698394253,71.44561724,5.6888451,64.7798655,15.0666562,0.4324063,0.4999698,0.0810762,12.5127567,0.310792,0.2567412,99.9128756,40.97049483
122,4.611162603,116.3647924,7.783705,91.8379277,19.9080085,0.7016757,0.6037675,0.1142263,20.6096842,0.5221773,0.5058592,143.0602544,30.90636727
123,1.451870706,40.63705342,2.0675654,31.888221,6.4213812,0.2186848,0.1192826,0.0596413,4.8806473,0.089462,0.1292228,45.9735106,10.28812616
