Service Request#;Incident Date;BLDG#;Street;Boro;Zip;Cross Streets;Cleaning Methods;San Dist;CB;Precinct;Council Dist;City Owned;xcoord;ycoord;On Roll Down Gate;Cherry Picker;Above 3rd Floor;LM
G137427;8/31/2015;1142;BEDFORD AVENUE;BROOKLYN;11216;GATES AVENUE / MONROE STREET;;303;03;79;36;FALSE;996846;188932;No;No;Yes;FALSE
G137428;8/31/2015;214;CLIFTON PLACE;BROOKLYN;11216;FRANKLIN AVENUE / BEDFORD AVENUE;;303;03;79;36;FALSE;996499;190077;Yes;No;No;FALSE
G137431;8/31/2015;4306;8 AVENUE;BROOKLYN;11232;43 STREET / 44 STREET;;307;07;72;38;FALSE;984234;174272;Yes;No;No;FALSE
G137433;8/31/2015;239;LENOX AVENUE;MANHATTAN;10027;WEST  121 STREET / WEST  122 STREET;;110;10;28;09;FALSE;998833;232892;Yes;No;No;FALSE
G137439;8/31/2015;92-21;215 PLACE;QUEENS;11428;92 AVENUE / 92 ROAD;;413;13;105;23;FALSE;1055543;202240;Yes;No;No;FALSE
G137440;8/31/2015;92-25;215 PLACE;QUEENS;11428;92 AVENUE / 92 ROAD;;413;13;105;23;FALSE;1055568;202209;Yes;No;No;FALSE
G137441;8/31/2015;92-27;215 PLACE;QUEENS;11428;92 AVENUE / 92 ROAD;"Paint White ; Powerwash; ";413;13;105;23;FALSE;1055581;202193;Yes;No;No;FALSE
G137449;9/1/2015;55;EAST HOUSTON STREET;MANHATTAN;10012;MULBERRY STREET / MOTT STREET;;102;02;5;01;FALSE;985779;203229;No;No;No;FALSE
G137450;9/1/2015;1094;STANLEY AVENUE;BROOKLYN;11208;EUCLID AVENUE / PINE STREET;;305;05;75;42;FALSE;1020534;181571;No;No;No;FALSE
G137451;9/1/2015;2118;VALENTINE AVENUE;BRONX;10457;EAST  180 STREET / EAST  181 STREET;;205;05;46;15;FALSE;1012127;250244;No;No;No;FALSE
G137453;9/1/2015;84-02;51 AVENUE;QUEENS;11373;POYER STREET / REEDER STREET;;404;04;110;25;FALSE;1017788;208233;No;No;No;FALSE
G137457;9/1/2015;646;55 STREET;BROOKLYN;11220;6 AVENUE / 7 AVENUE;;307;07;72;38;FALSE;981463;172481;No;No;No;FALSE
G137458;9/1/2015;648;55 STREET;BROOKLYN;11220;6 AVENUE / 7 AVENUE;;307;07;72;38;FALSE;981482;172467;No;No;No;FALSE
G137459;9/1/2015;2241;SOUTHERN BOULEVARD;BRONX;10460;EAST  182 STREET / CROTONA PARKWAY;;206;6;48;15;FALSE;1016498;248666;No;No;No;FALSE
G137460;9/1/2015;5502;5 AVENUE;BROOKLYN;11220;55 STREET / 56 STREET;;307;07;72;38;FALSE;980483;173307;Yes;No;No;FALSE
G137461;9/1/2015;6014;7 AVENUE;BROOKLYN;11220;60 STREET / 61 STREET;;307;07;72;38;FALSE;980827;171223;No;No;No;FALSE
G137463;9/1/2015;1183;72 STREET;BROOKLYN;11228;11 AVENUE / 12 AVENUE;;310;10;68;43;FALSE;982083;166472;No;No;No;FALSE
G137465;9/1/2015;121-31;234 STREET;QUEENS;11422;121 AVENUE / 128 AVENUE;;413;13;105;31;FALSE;1058733;188536;No;No;No;FALSE
G137473;9/1/2015;36-01;43 AVENUE;QUEENS;11101;36 STREET / 37 STREET;;402;02;108;26;FALSE;1004146;211226;No;No;No;FALSE
G137474;9/1/2015;125;7 AVENUE;MANHATTAN;10011;WEST   17 STREET / WEST   18 STREET;;104;04;13;03;FALSE;984849;209071;Yes;No;No;FALSE
G137475;9/2/2015;3300;CONEY ISLAND AVENUE;BROOKLYN;11235;BRIGHTWATER COURT / BOARDWALK EAST;;313;13;60;48;FALSE;995348;148960;No;No;No;FALSE
G137481;9/2/2015;23-71;33 STREET;QUEENS;11105;23 ROAD / 24 AVENUE;;401;01;114;22;FALSE;1008230;220516;No;No;No;FALSE
G137483;9/2/2015;46;WEST  125 STREET;MANHATTAN;10027;5 AVENUE / LENOX AVENUE;;110;10;28;09;FALSE;999723;233251;Yes;No;No;FALSE
G137486;9/2/2015;2315;AVENUE X;BROOKLYN;11235;EAST   23 STREET / EAST   24 STREET;;315;15;61;48;FALSE;999066;155439;Yes;No;No;FALSE
G137487;9/2/2015;1217;BEDFORD AVENUE;BROOKLYN;11216;HANCOCK STREET / HALSEY STREET;;303;03;79;36;FALSE;997214;187622;No;No;No;FALSE
G137488;9/2/2015;16;HOWARD AVENUE;BROOKLYN;11221;MONROE STREET / MADISON STREET;;303;03;81;41;FALSE;1006067;190027;No;No;No;FALSE
G137490;9/2/2015;284A;9 STREET;BROOKLYN;11215;4 AVENUE / 5 AVENUE;;306;06;78;39;FALSE;987671;183214;Yes;No;No;FALSE
G137493;9/2/2015;3163;BROADWAY;MANHATTAN;10027;LA SALLE STREET / TIEMANN PLACE;;109;9;26;09;FALSE;995517;236210;Yes;No;No;FALSE
G137494;9/2/2015;445;WEST  125 STREET;MANHATTAN;10027;BEND / AMSTERDAM AVENUE;;109;09;26;07;FALSE;996626;235386;Yes;No;No;FALSE
G137500;9/3/2015;134;BEACH  129 STREET;QUEENS;11694;OCEAN PROMENADE / ROCKAWAY BEACH BOULEVARD;;414;14;100;32;FALSE;1026847;148511;No;No;No;FALSE
G137501;9/3/2015;546;THIRD AVENUE;BROOKLYN;11215;13 STREET / 14 STREET;;306;06;78;39;FALSE;986016;182911;No;No;Yes;FALSE
G137502;9/3/2015;225;WEST  105 STREET;MANHATTAN;10025;AMSTERDAM AVENUE / BROADWAY;;107;07;24;07;FALSE;993394;230862;No;No;Yes;FALSE
G137508;9/3/2015;920;FOURTH AVENUE;BROOKLYN;11232;34 STREET / 35 STREET;;307;07;72;38;FALSE;983246;178097;Yes;No;No;FALSE
G137509;9/3/2015;957;4 AVENUE;BROOKLYN;11232;36 STREET / 37 STREET;;307;07;72;38;FALSE;982976;177440;No;No;No;FALSE
G137513;9/3/2015;457;WEST  125 STREET;MANHATTAN;10027;BEND / AMSTERDAM AVENUE;;109;09;26;07;FALSE;996556;235487;Yes;No;No;FALSE
G137514;9/3/2015;537;WEST  125 STREET;MANHATTAN;10027;AMSTERDAM AVENUE / OLD BROADWAY;;109;9;26;07;FALSE;996156;236091;Yes;No;No;FALSE
G137518;9/3/2015;90-06;PITKIN AVENUE;QUEENS;11417;LINDEN BOULEVARD / WHITELAW STREET;;410;10;106;32;FALSE;1026889;184522;No;No;No;FALSE
G137519;9/3/2015;876;GERARD AVENUE;BRONX;10452;EAST  161 STREET / EAST  162 STREET;;204;4;44;17;FALSE;1005199;240849;No;No;No;FALSE
G137520;9/3/2015;744;MCDONALD AVENUE;BROOKLYN;11218;CORTELYOU ROAD / DITMAS AVENUE;;312;12;66;39;FALSE;990200;171087;No;No;No;FALSE
G137523;9/3/2015;262;PACIFIC STREET;BROOKLYN;11201;BOERUM PLACE / SMITH STREET;;302;02;84;33;FALSE;986969;189946;No;No;No;FALSE
G137524;9/3/2015;164;WEST  123 STREET;MANHATTAN;10027;LENOX AVENUE / ADAM CLAYTON POWELL JR BOULEVARD;;110;10;28;09;FALSE;998414;233377;No;No;No;FALSE
G137527;9/3/2015;340;MAUJER STREET;BROOKLYN;11206;WATERBURY STREET / MORGAN AVENUE;;301;01;90;34;FALSE;1002180;198803;No;No;No;FALSE
G137528;9/3/2015;218;WEST   10 STREET;MANHATTAN;10014;BLEECKER STREET / HUDSON STREET;;102;02;6;03;FALSE;982950;206618;No;No;No;FALSE
G137529;9/3/2015;337;BLEECKER STREET;MANHATTAN;10014;CHRISTOPHER STREET / WEST   10 STREET;;102;02;6;03;FALSE;983074;206574;No;No;No;FALSE
G137530;9/3/2015;3;CHARLES STREET;MANHATTAN;10014;GREENWICH AVENUE / WAVERLY PLACE;;102;02;6;03;FALSE;984071;207187;No;No;No;FALSE
