Service Request#;Incident Date;BLDG#;Street;Boro;Zip;Cross Streets;Cleaning Methods;San Dist;CB;Precinct;Council Dist;City Owned;xcoord;ycoord;On Roll Down Gate;Cherry Picker;Above 3rd Floor;LM
G137531;9/3/2015;61;CHRISTOPHER STREET;MANHATTAN;10014;GROVE STREET / 7 AVENUE SOUTH;;102;02;6;03;FALSE;983623;206645;No;No;No;FALSE
G137532;9/3/2015;133;7 AVENUE SOUTH;MANHATTAN;10014;WEST   10 STREET / CHARLES STREET;;102;02;6;03;FALSE;983694;206892;No;No;No;FALSE
G137536;9/4/2015;266;EAST GUN HILL ROAD;BRONX;10467;KINGS COLLEGE PLACE / PUTNAM PLACE;;207;7;52;11;FALSE;1018599;259719;Yes;No;No;FALSE
G137537;9/4/2015;360;EAST GUNHILL ROAD;BRONX;10467;DECATUR AVENUE / WEBSTER AVENUE;;207;7;52;11;FALSE;1019552;259350;Yes;No;No;FALSE
G137538;9/4/2015;361;GUNHILL ROAD;BRONX;10467;DECATUR AVENUE / WEBSTER AVENUE;;207;07;52;11;FALSE;1019606;259532;Yes;No;No;FALSE
G137540;9/4/2015;278;PENNYFIELD AVENUE;BRONX;10465;HATTING PLACE / CHAFFEE AVENUE;;210;10;45;13;FALSE;1037494;236109;No;No;No;FALSE
G137541;9/4/2015;557;GRAND CONCOURSE;BRONX;10451;EAST  149 STREET / EAST  150 STREET;;204;04;44;08;FALSE;1004342;237704;No;No;No;FALSE
G137543;9/4/2015;941;61 STREET;BROOKLYN;11219;9 AVENUE / FT HAMILTON PARKWAY;;312;12;66;38;FALSE;982372;169947;Yes;No;No;FALSE
G137546;9/4/2015;429;61 STREET;BROOKLYN;11220;4 AVENUE / 5 AVENUE;;307;07;72;38;FALSE;979277;172400;No;No;No;FALSE
G137551;9/4/2015;21-23;49 AVENUE;QUEENS;11101;21 STREET / FLUSHING LINE;;402;02;108;26;FALSE;998524;209803;Yes;No;No;FALSE
G137553;9/4/2015;1170;39 STREET;BROOKLYN;11218;FT HAMILTON PARKWAY / 12 AVENUE;;312;12;66;39;FALSE;987319;173146;No;No;No;FALSE
G137555;9/4/2015;71-20;MYRTLE AVENUE;QUEENS;11385;71 STREET / 71 PLACE;;405;05;104;30;FALSE;1017720;195006;No;No;No;FALSE
G137556;9/4/2015;109-12;FARMERS BOULEVARD;QUEENS;11412;109 AVENUE / 109 ROAD;;412;12;113;27;FALSE;1048864;195708;Yes;No;No;FALSE
G137557;9/4/2015;75-41;61 STREET;QUEENS;11385;75 AVENUE / ST FELIX AVENUE;;405;05;104;30;FALSE;1013801;193410;No;No;No;FALSE
G137564;9/5/2015;540;WEST  188 STREET;MANHATTAN;10040;AMSTERDAM AVENUE / AUDUBON AVENUE;;112;12;34;10;FALSE;1003889;249982;No;No;No;FALSE
G137565;9/5/2015;3552;JOHNSON AVENUE;BRONX;10463;WEST 235 STREET / WEST 236 STREET;;208;08;50;11;FALSE;1009286;262167;No;No;No;FALSE
G137568;9/5/2015;248;STRATFORD ROAD;BROOKLYN;11218;LEWIS PLACE / MATTHEWS COURT;;314;14;70;40;FALSE;992918;173395;No;No;No;FALSE
G137569;9/6/2015;590;NOSTRAND AVENUE;BROOKLYN;11216;ATLANTIC AVENUE / PACIFIC STREET;;308;8;77;36;FALSE;998125;186399;No;No;No;FALSE
G137570;9/6/2015;89-00;23 AVENUE;QUEENS;11369;89 STREET / 90 STREET;;403;03;115;22;FALSE;1017534;218834;No;No;No;FALSE
G137572;9/6/2015;106;FORSYTH STREET;MANHATTAN;10002;GRAND STREET / BROOME STREET;"Paint Gray ; ";103;03;5;01;FALSE;986318;201027;No;No;No;FALSE
G137573;9/6/2015;1367;65 STREET;BROOKLYN;11219;13 AVENUE / 14 AVENUE;;310;10;68;38;FALSE;984373;167030;Yes;No;No;FALSE
G137589;9/8/2015;481;8 AVENUE;MANHATTAN;10001;WEST   34 STREET / WEST   35 STREET;;104;04;14;03;FALSE;986011;213514;No;No;No;FALSE
G137590;9/8/2015;23;AVENUE A;MANHATTAN;10009;EAST    1 STREET / EAST    2 STREET;;103;3;9;02;FALSE;988109;202672;No;No;No;FALSE
G137592;9/8/2015;1600;CATON AVENUE;BROOKLYN;11226;BUCKINGHAM ROAD / PARADE PLACE;;314;14;70;40;FALSE;994024;176251;No;No;No;FALSE
G137597;9/8/2015;160;WEST  124 STREET;MANHATTAN;10027;LENOX AVENUE / ADAM CLAYTON POWELL JR BOULEVARD;;110;10;28;09;FALSE;998554;233597;Yes;No;No;FALSE
G137599;9/8/2015;1401;AVENUE Z;BROOKLYN;11235;EAST   14 STREET / EAST   15 STREET;;315;15;61;48;FALSE;996725;153526;No;No;No;FALSE
G137600;9/8/2015;1616;VOORHIES AVENUE;BROOKLYN;11235;EAST   16 STREET / SHEEPSHEAD BAY ROAD;;315;15;61;48;FALSE;997485;152645;Yes;No;No;FALSE
G137602;9/8/2015;4309;8 AVENUE;BROOKLYN;11232;43 STREET / 44 STREET;;307;12;66;38;FALSE;984356;174141;Yes;No;No;FALSE
G137603;9/8/2015;4313;8 AVENUE;BROOKLYN;11232;43 STREET / 44 STREET;;307;12;66;38;FALSE;984333;174113;Yes;No;No;FALSE
G137604;9/8/2015;4407;8 AVENUE;BROOKLYN;11220;44 STREET / 45 STREET;;307;12;66;38;FALSE;984187;173950;Yes;No;No;FALSE
G137607;9/8/2015;5811;8 AVENUE;BROOKLYN;11220;58 STREET / 59 STREET;;307;12;66;38;FALSE;981912;171077;No;No;No;FALSE
G137775;9/14/2015;140;BEADEL STREET;BROOKLYN;11222;VANDERVOORT AVENUE / PORTER AVENUE;"Paint Gray ; Powerwash; ";301;01;94;34;FALSE;1002177;202355;No;No;No;FALSE
G138017;9/24/2015;306;WHITE PLAINS ROAD;BRONX;10473;O'BRIEN AVENUE / PATTERSON AVENUE;"Powerwash; ";209;09;43;18;FALSE;1024220;235069;Yes;No;No;FALSE
G138034;9/25/2015;133-27;SANFORD AVENUE;QUEENS;11355;FRAME PLACE / MAIN STREET;"Paint Black ; ";407;07;109;20;FALSE;1031314;214942;Yes;No;No;FALSE
G138035;9/25/2015;133-27;SANFORD AVENUE;QUEENS;11355;FRAME PLACE / MAIN STREET;"Paint Black ; ";407;07;109;20;FALSE;1031314;214942;No;No;No;FALSE
G138158;10/2/2015;137;34 STREET;BROOKLYN;11232;3 AVENUE / 4 AVENUE;;307;7;72;38;FALSE;982977;178462;Yes;No;No;FALSE
G138177;10/4/2015;40-04;BOWNE STREET;QUEENS;11354;ROOSEVELT AVENUE / LIRR PORT WASHINGTON LINE;"Paint No preference ; Powerwash; ";407;07;109;20;FALSE;1032831;216427;No;No;No;FALSE
G138217;10/5/2015;1174;CONEY ISLAND AVENUE;BROOKLYN;11230;AVENUE H / LONG ISLAND RR;;314;14;70;45;FALSE;993601;168411;No;No;No;FALSE
G138218;10/5/2015;1656;ST NICHOLAS AVENUE;MANHATTAN;10040;WADSWORTH AVENUE / FT GEORGE AVENUE;"Paint No preference PAINT COLOR OF ROOF SILVER, HALLWAY IS GREEN OIL BASE; ";112;12;34;10;FALSE;1004145;251325;No;No;No;FALSE
G138219;10/5/2015;6014;18 AVENUE;BROOKLYN;11204;60 STREET / 61 STREET;;312;12;66;44;FALSE;987658;165815;No;No;No;FALSE
