borough,neighborhood,building_class_category,tax_class_present,block,lot,easement,building_class_present,address,apartment_number,zip_code,residential_units,commmercial_units,total_units,land_sq_feet,gross_sq_feet,year_built,tax_class_time_sale,build_class_time_sale,sale_price,sale_date,serialid
5,ANNADALE,01  ONE FAMILY HOMES,1,6249,606,,B2,82 BENNETT AVENUE,,10312,2,0,2,3911,2292,2011,1,A1,768778,7/18/2011,212832
5,ANNADALE,01  ONE FAMILY HOMES,1,6251,12,,A1,80 DOWNES AVENUE,,10312,1,0,1,4000,2166,1974,1,A1,457000,1/19/2011,212833
5,ANNADALE,01  ONE FAMILY HOMES,1,6252,1,,A2,87 DOWNES AVENUE,,10312,1,0,1,4000,2200,1974,1,A2,0,11/16/2011,212834
5,ANNADALE,01  ONE FAMILY HOMES,1,6252,30,,A1,6 BUFFINGTON AVENUE,,10312,1,0,1,4000,2550,1992,1,A1,590000,8/17/2011,212835
5,ANNADALE,01  ONE FAMILY HOMES,1,6253,4,,A1,170 SOUTH RAILROAD ST,,10312,1,0,1,4167,2900,1990,1,A1,0,8/12/2011,212836
5,ANNADALE,01  ONE FAMILY HOMES,1,6257,90,,A2,10 BURCHARD COURT,,10312,1,0,1,6138,1086,1955,1,A2,300000,1/25/2011,212837
5,ANNADALE,01  ONE FAMILY HOMES,1,6259,10,,A1,250 DETROIT AVENUE,,10312,1,0,1,8000,2250,1980,1,A1,0,10/6/2011,212838
5,ANNADALE,01  ONE FAMILY HOMES,1,6259,10,,A1,250 DETROIT AVENUE,,10312,1,0,1,8000,2250,1980,1,A1,549000,9/28/2011,212839
5,ANNADALE,01  ONE FAMILY HOMES,1,6268,51,,A1,195 SINCLAIR AVENUE,,10312,1,0,1,4000,2600,1998,1,A1,0,5/5/2011,212840
5,ANNADALE,01  ONE FAMILY HOMES,1,6272,15,,A1,21 HOLCOMB AVENUE,,10312,1,0,1,8000,1960,1940,1,A1,0,12/1/2011,212841
5,ANNADALE,01  ONE FAMILY HOMES,1,6277,21,,A1,315 DETROIT AVENUE,,10312,1,0,1,6000,1912,1975,1,A1,550000,8/24/2011,212842
5,ANNADALE,01  ONE FAMILY HOMES,1,6277,68,,A1,338 EDGEGROVE AVENUE,,10312,1,0,1,4000,2620,1960,1,A1,0,6/8/2011,212843
5,ANNADALE,01  ONE FAMILY HOMES,1,6278,1,,A2,275 EDGEGROVE AVENUE,,10312,1,0,1,4900,1084,1955,1,A2,295000,11/28/2011,212844
5,ANNADALE,01  ONE FAMILY HOMES,1,6281,10,,A1,876 DRUMGOOLE ROAD EAST,,10312,1,0,1,4212,3480,1974,1,A1,760000,6/22/2011,212845
5,ANNADALE,01  ONE FAMILY HOMES,1,6281,40,,A2,387 EDGEGROVE AVENUE,,10312,1,0,1,6000,1596,1975,1,A2,526500,4/8/2011,212846
5,ANNADALE,01  ONE FAMILY HOMES,1,6298,19,,A2,84 RAMONA AVENUE,,10312,1,0,1,4000,1932,1975,1,A2,0,2/8/2011,212847
5,ANNADALE,01  ONE FAMILY HOMES,1,6298,21,,A2,78 RAMONA AVENUE,,10312,1,0,1,4000,1932,1975,1,A2,490000,5/9/2011,212848
5,ANNADALE,01  ONE FAMILY HOMES,1,6300,63,,A1,441 RATHBUN AVENUE,,10312,1,0,1,4000,2083,1970,1,A1,630000,1/11/2011,212849
5,ANNADALE,01  ONE FAMILY HOMES,1,6352,9,,A1,456 HOLDRIDGE AVENUE,,10312,1,0,1,4000,1750,1994,1,A1,0,1/18/2011,212850
5,ANNADALE,01  ONE FAMILY HOMES,1,6363,15,,A1,314 SHIRLEY AVENUE,,10312,1,0,1,6000,1168,1965,1,A1,0,7/12/2011,212851
5,ANNADALE,01  ONE FAMILY HOMES,1,6364,1,,A1,573 BARCLAY AVENUE,,10312,1,0,1,7000,2173,1975,1,A1,630000,9/26/2011,212852
5,ANNADALE,01  ONE FAMILY HOMES,1,6367,44,,A1,301 SHIRLEY AVENUE,,10312,1,0,1,8000,2512,1970,1,A1,875000,10/7/2011,212853
5,ANNADALE,01  ONE FAMILY HOMES,1,6378,65,,A1,135 EYLANDT STREET,,10312,1,0,1,4000,2192,1985,1,A1,0,7/8/2011,212854
5,ANNADALE,01  ONE FAMILY HOMES,1,6401,18,,A1,39 ALLEN PLACE,,10312,1,0,1,6000,1480,1955,1,A1,775000,1/10/2011,212855
5,ANNADALE,01  ONE FAMILY HOMES,1,6401,18,,A1,39 ALLEN PLACE,,10312,1,0,1,6000,1480,1955,1,A1,0,1/10/2011,212856
