country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Barbados,54.3,59.7,69.1,72.6,68,53.8,49.9,42.7,36.6,34.4,33,30.7,29.5,29.1
Cuba,61.4,60.5,58.2,64,66.5,67,52.3,40.8,34.1,33.1,31.9,28,25.2,23.4
Curaçao,63.2,70.2,76.5,75.5,72.3,62.8,49.3,42.2,41.8,41.4,38.4,31.6,29.7,28.7
Dominican Republic,87.4,90.5,97.9,101.2,96.3,87.6,78.8,72.4,67.4,63.5,58.6,54.4,50.3,47.3
Grenada,101.1,94.3,106.7,109.5,108.3,83.2,75.6,68.4,73.2,70.6,61.2,48.2,42.2,39.9
Guadeloupe,70.3,75.6,82.9,86.3,81.8,80.4,58.2,49.9,42.6,38.7,37.6,37.3,35.4,34.6
Haiti,69.9,69.8,71.3,76.2,76.9,75.3,74.9,78.5,81.6,79.7,72.6,65.8,60.1,54.8
Jamaica,59.9,63.1,77.4,85.1,99.3,92.5,76,66.9,61,57.6,54.5,49.4,42.1,35
Martinique,65.1,73.8,79.6,87.2,77.5,75.3,49.6,43.1,37.2,36.7,35.5,32.2,29.9,27
Puerto Rico,81.7,81.6,81.7,69.5,64.1,55.9,52.1,47.9,43.1,39.3,36.2,33.8,30.8,28.3
Saint Lucia,68.6,71.6,87.4,97.7,110.6,96.4,85.8,75.5,65.3,61,53.6,44.3,38.1,34.1
Saint Vincent and the Grenadines,105.5,110.3,107,111.6,109.3,100.7,86.5,73.3,67.9,58.4,51,44.4,39.7,36
Trinidad and Tobago,71.3,77.8,79.8,81.6,76.2,65.4,56.1,57,55.4,48.7,37.7,30.8,29.2,29.8
United States Virgin Islands,73.3,76.8,74,74.4,59.9,76.6,60.5,55.2,44.4,42.5,39.6,33.4,31.5,32.8
Central America,79.1,85.4,90.1,93.5,92.3,91.6,87.8,80.9,71.2,64.4,59.6,54.8,49.1,43.9
Belize,66.7,82.2,89.5,96.8,97,99.7,95.1,87.7,82.9,80.8,73.6,67.5,59,50.9
Costa Rica,81.5,82.6,85.6,85.1,82.5,71.8,62.6,58.5,58.4,54.8,48.4,41.4,36.2,32.4
El Salvador,80.1,82.2,86.7,90,89.2,86.1,82.9,78.7,71.6,65.3,61.8,56.8,49.1,41.7
Guatemala,84.3,87.4,88.8,86.9,85,85.8,88.1,90.1,88.5,85.3,80.9,76.3,69.3,62.6
Honduras,78.5,84.6,90.8,94.7,97,96.3,94.3,91.3,88.9,85,79.2,70.6,60,50.1
Mexico,78.5,85.6,90.6,94.7,93.5,93.3,88.9,80.4,68.6,61.1,56.5,52.1,46.7,41.9
Nicaragua,79.4,86.7,94.5,101.6,97.1,93.2,93.2,93.6,89.6,80.9,70.1,60.2,52.5,46.3
Panama,78.1,80.9,83.5,85.3,84.5,80.8,74.4,67.2,60.4,54.8,51.1,47.4,44.6,41.7
South America,69.7,72.6,76.3,78.2,75.6,70.9,66.1,62.5,58.9,53.6,48.3,43.9,39.9,36.5
Argentina,46.8,47.8,48.2,47.3,46,46.1,49.3,51,50.7,47.5,45.1,42.7,40.6,39.4
Bolivia (Plurinational State of),72.7,78.3,79.7,81.2,79.2,78.5,78.6,78,76,72.1,67.7,63.2,58.4,53.1
Brazil,74.9,76.9,81,82.8,78.6,72.4,66.2,62.8,58.4,51.7,45.5,41.3,37.4,33.3
Chile,62.5,66.8,69.1,70.3,68,62.2,54.8,48.4,45.6,43.6,40.4,35.7,31.9,29.3
Colombia,79.1,86.1,92.2,94,90.7,82.1,72.9,65.2,61.1,56,49.5,43.9,39,35.4
Ecuador,72.4,79,83.6,87.8,85.8,82.4,77.5,71.6,66.4,61.9,57.6,52.9,48.7,45.1
French Guiana,48.1,60.3,67.4,69.1,68.2,67.8,56.2,52.8,56.8,57.8,59.3,59.4,58.1,55.4
Guyana,71.2,82.3,91.3,97.5,94.5,86.6,80.9,69.7,57.8,58.1,59.7,62.9,54.7,43.5
Paraguay,93.8,96.3,98,96.9,91.5,84.4,79.2,76.1,75.5,72.6,66.7,58.9,52.8,47.2
Peru,75.6,78.5,82.5,85.7,85.1,82.3,78.2,72.1,67,61.3,56.5,50.6,45.6,42.7
Suriname,74.1,83.2,98.6,101,100.8,97.5,70.6,58.6,55.4,56.8,55.1,46.2,43.8,40.4
Uruguay,43.6,42.9,43.5,44.2,44.1,44.2,43.1,43.1,41.7,40,39.4,37.9,35.4,33.4
Venezuela (Bolivarian Republic of),87.2,86.1,88.3,91.8,90.6,83,73.5,67.4,64.9,60.7,55.5,49.9,45.8,42.8
NORTHERN AMERICA,42.1,48.4,51.8,50.5,45.7,39,34.3,32.4,32.5,32.8,31.6,29.9,28.8,28.1
Canada,47.4,53.4,57.6,56.4,48.7,40,33.6,31.1,30.4,30.1,28.1,25.5,23.7,23.5
United States of America,41.7,47.9,51.3,50,45.4,38.9,34.4,32.6,32.8,33.1,32,30.4,29.4,28.6
OCEANIA,47.6,52.8,56,55.2,53.6,51.2,47.6,44.6,41.7,40.9,40,38.3,36.8,36.3
Australia/New Zealand,41.9,47.4,50.6,49.2,47.5,44.1,39.5,36,33.3,32.8,31.8,29.9,28.6,28.7
Australia,40.8,46.4,49.3,47.9,46.3,43.1,38.8,35.6,32.9,32.3,31.2,29.4,28.2,28.2
New Zealand,47,52.2,56.2,55,53.1,48.9,43.1,37.9,35.4,35.2,34.7,32.5,30.8,31.1
Melanesia,72.7,76.6,79.4,80.9,80,82.2,82.7,81.1,74.6,70.1,68.1,66,63.6,59.7
Fiji,92.5,96.5,97.6,92.1,81.1,70,67.5,67.2,65.6,60.5,56.9,46.7,43.8,43.9
New Caledonia,61,62.3,63.3,64.7,64.1,63.2,61.1,58.2,50.5,46.4,43.8,40.5,35.1,32.9
Papua New Guinea,69.6,73.5,76.6,79.1,80.2,84.8,86.1,84,76.2,71.8,70.1,69.3,66.9,62.1
