Zip Code ,Zip Square Footage,Total population,Total population - Male,EstimatTotal population - Female,Population density,Population 16 years and over,Total population - White alone,Total population - Black or African American alone,Total population - Asian alone,Total population - Hispanic or Latino (of any race),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Total households,Mean household income (dollars),Median earnings for workers (dollars),Residential Units,Total units,Non-residential units,AverageAge
11417,19080024,31004,14987,16017,1.62,24366,7053,2344,8738,11288,2198,1714,2179,2099,2555,4411,4582,454,1942,1386,1626,983,388,9483,76485,33487,11103,12049,946,34
11418,30963490,36828,18104,18724,1.19,28752,6398,2599,9130,15775,2558,2623,2291,2481,2753,6187,5421,375,2199,2037,1906,965,464,11058,71669,32669,10118,10988,870,33
11419,31893592,49193,24234,24959,1.54,40312,2140,8365,14831,8312,2312,2409,3510,3514,4821,7182,6662,623,3505,2817,2711,1220,339,12507,70532,25829,2383,2436,53,34
11420,31431213,48449,23009,25440,1.54,38819,3611,13163,8880,11520,2908,2940,3117,3455,4086,6848,6958,539,3357,2424,3085,1387,521,13485,77629,30520,12155,12792,637,34
11421,59804450,42588,20985,21603,0.71,33373,7400,2300,7088,24657,3103,2776,2602,3165,3485,6664,6076,481,2716,2196,2098,926,531,12188,76733,29682,0,133,133,33
11422,24889826,33280,14712,18568,1.34,25742,1525,27995,1005,2351,2247,2424,2329,2385,2443,4796,4171,508,2173,1808,2038,787,432,10041,93330,39872,1533,1666,133,33
11423,56574920,31625,14939,16686,0.56,25904,3368,12511,7698,4930,1750,1535,2140,2253,2188,3762,4697,483,2296,1624,2627,1343,655,9948,81033,31553,16713,31798,15085,38
11426,44969230,19575,9524,10051,0.44,15724,7096,517,7262,3987,1294,837,1244,1517,1060,3081,2035,364,1697,989,1284,771,439,5950,99850,42015,,,,37
11427,47973828,24877,11691,13186,0.52,20691,4826,5773,8709,3540,1393,1143,1300,1493,2101,3547,3330,385,1602,1754,1921,809,421,7960,85446,38371,,,,37
11428,39769871,20307,9877,10430,0.51,16912,1923,4365,5812,5478,986,991,1076,1407,1778,2691,2992,421,1760,1183,1402,642,276,5699,81239,31955,,,,37
11429,21521650,28311,13544,14767,1.32,23460,667,21906,885,3306,1479,1414,1667,2140,2252,3655,4010,456,2084,1498,2269,1297,338,7635,83891,31263,,,,37
11430,38249762,140,120,20,0,140,12,81,0,47,0,0,0,0,21,30,29,26,18,12,6,0,0,0,0,10625,,,,42
11432,202523775,61687,29649,32038,0.3,50055,8169,9642,23307,16262,4124,3456,3475,4719,5115,9109,8069,721,4072,2611,4519,2528,1377,18653,67975,26475,2302,2706,404,36
11433,60273788,32821,14485,18336,0.54,24831,205,23068,2089,5249,2451,2329,2561,2858,2590,4728,4237,469,1656,1639,2161,1136,507,10160,58033,30969,15150,16253,1103,33
11434,46768687,62809,27959,34850,1.34,49446,918,53433,646,6165,3999,4020,4449,4451,4617,8636,8876,691,3942,3000,4055,2666,1267,20120,70618,33431,,,,35
11435,87619011,53542,26654,26888,0.61,43116,7760,12281,10519,18485,3640,3192,2778,3487,3835,9371,7933,554,3731,2619,3162,1675,552,18287,64739,30728,16061,16703,642,34
11436,42028331,17636,8564,9072,0.42,14148,194,12749,1233,2075,1056,1049,1072,1274,1422,2618,2395,229,1053,940,1205,591,279,5272,73273,32151,,,,35
11691,22726501,61091,28055,33036,2.69,44828,13893,27614,1619,16530,6487,4244,4568,4512,5296,8829,6557,630,3220,2514,4191,2589,1132,18942,56640,28883,7317,7415,98,33
11692,82554550,17674,8238,9436,0.21,13328,2520,10184,405,4005,1382,1372,1326,1190,1302,2141,2451,381,1055,896,993,711,195,5974,60455,34229,5037,5225,188,33
11693,24251215,11335,5227,6108,0.47,9131,5282,3092,679,2171,654,730,611,896,780,1340,1487,356,684,600,867,474,81,4518,60995,40401,5912,6205,293,36
11694,46272219,21725,10672,11053,0.47,17635,16570,1496,499,2893,1082,1379,1325,1453,781,2364,2824,405,1553,1520,1841,1397,573,8190,93633,47087,,,,40
11697,48916575,4223,2105,2118,0.09,3373,4144,3,0,32,171,274,305,241,147,286,405,131,357,440,436,422,184,1701,100542,57500,,,,45
