Zip Code ,Zip Square Footage,Total population,Total population - Male,EstimatTotal population - Female,Population density,Population 16 years and over,Total population - White alone,Total population - Black or African American alone,Total population - Asian alone,Total population - Hispanic or Latino (of any race),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Total households,Mean household income (dollars),Median earnings for workers (dollars),Residential Units,Total units,Non-residential units,AverageAge
10464,74876734,4248,1816,2432,0.06,3670,3176,52,31,937,70,207,281,181,319,307,415,273,464,262,486,254,125,2062,79490,52865,,,,44
10465,106426131,44862,21577,23285,0.42,36654,22904,3209,1456,16289,2155,2758,2821,3254,3471,5466,5418,539,2747,2560,3511,3034,1282,15572,80849,42960,19649,20587,938,39
10466,54789675,70609,31429,39180,1.29,54775,2136,51337,1326,14646,4928,4442,5253,5888,5669,8331,9674,719,4356,3697,5151,1988,919,22595,56384,30728,49709,51403,1694,34
10467,69332411,98754,46656,52098,1.42,74893,9077,34948,6006,46175,8397,7010,7289,7126,7502,15941,13934,725,4959,4015,5363,3155,1300,34796,47694,28843,25457,27254,1797,32
10468,34730150,71822,33969,37853,2.07,55071,3093,15155,2647,50364,5205,5531,4859,5668,6817,11397,9738,777,3559,3134,3228,2023,938,23680,43327,21610,29884,30660,776,32
10469,68018167,71843,32606,39237,1.06,56886,10299,38260,2773,18595,4263,4477,5086,5690,5699,9180,9160,745,4157,3707,4880,3301,1844,21832,69599,35592,3912,4204,292,36
10470,22023202,14850,7403,7447,0.67,12049,6383,4675,560,2876,1077,628,822,892,1052,2707,1963,284,917,867,838,777,415,5801,69447,39162,1346,1388,42,37
10471,90123897,22030,10432,11598,0.24,19015,13978,1514,1661,4455,1031,887,900,1779,1893,2300,2636,328,1489,1429,2001,1535,1195,8980,103040,50607,33983,34857,874,42
10472,31276377,68898,33278,35620,2.2,51191,1325,16499,3962,44509,6390,5013,5392,4969,5803,11530,8219,641,3705,3105,3671,1777,1021,21006,43093,22541,3009,3056,47,31
10473,59037187,58660,25617,33043,0.99,46147,849,19678,1125,36054,3676,3675,4203,4453,5149,7516,7273,606,3876,2883,4764,2256,895,20355,52054,30346,3741,4433,692,35
10474,36129268,12519,6209,6310,0.35,9165,159,3074,27,9187,890,1066,1075,966,1191,2365,1663,255,428,390,658,130,86,3656,33007,20572,12497,12733,236,29
10475,38416790,43231,19528,23703,1.13,37166,3909,24424,484,13819,1623,2123,2157,2272,2980,4379,5133,898,3593,2705,4538,2907,1196,17992,58630,37500,14511,26513,12002,43
11001,7381221,27001,12998,14003,3.66,21805,17941,1797,3744,2608,1461,1687,1692,1645,1548,3012,3861,385,2122,1798,1978,1178,632,9025,119168,45429,,,,38
11004,23904879,14500,6728,7772,0.61,11995,5818,788,5736,1429,875,790,803,686,919,1994,1704,332,1156,837,1061,795,624,5138,94946,50276,,,,40
11005,7542283,2055,744,1311,0.27,2055,1967,15,0,73,0,0,0,0,0,9,0,71,69,75,332,761,715,1566,100544,35956,,,,79
11101,81094448,25537,12661,12876,0.31,21169,7422,3791,4573,9243,1471,1369,1358,1340,2357,5285,4276,393,1070,1095,1222,756,295,11075,67121,35877,11252,11910,658,34
11102,19082439,34529,17565,16964,1.81,29521,14668,3027,5419,10543,1886,1416,1378,1771,3137,9816,5244,440,1638,1022,1802,967,336,13873,67035,31941,15245,16477,1232,34
11103,20176773,37745,19142,18603,1.87,33121,22344,722,4814,9156,1724,1223,1413,1224,3020,10334,5951,400,1824,1542,2520,1530,619,16283,69034,36028,12705,13307,602,37
11104,11743317,25729,12012,13717,2.19,22386,10731,166,7359,6875,1458,977,735,870,1651,5947,4629,490,1423,1430,1892,847,239,11502,69522,33537,12606,13850,1244,37
11105,48838937,36190,18099,18091,0.74,31598,23513,607,3518,7758,1609,1309,1350,1457,2525,9632,5757,434,1839,1881,2253,1668,693,15729,74283,40616,17176,18200,1024,38
11106,23912246,36869,18293,18576,1.54,32397,16255,2702,6058,10745,1404,1397,1398,1705,2743,8693,6011,490,1801,1898,2654,1900,773,16704,65573,34308,3352,3387,35,38
11109,195434,3524,1936,1588,18.03,3248,2335,94,660,264,214,62,0,59,161,1917,655,91,99,54,70,60,14,2000,157687,80041,30329,33749,3420,32
11201,39688212,54668,26994,27674,1.38,46978,33559,6686,4871,7431,3692,2137,1544,2364,3352,13967,10093,500,2869,2404,3036,1889,1092,24389,151188,62654,9302,9750,448,36
11203,60514620,79572,35351,44221,1.31,64066,2447,69877,979,4899,5084,4576,4787,5347,5884,11173,9816,727,4940,4921,7056,3538,1347,26933,61959,32149,27424,29443,2019,37
11204,43850062,80963,40426,40537,1.85,61967,48372,346,21936,9132,6571,6173,5057,5564,5704,12807,9802,660,4687,4671,5300,3411,1755,25221,62859,26977,15618,16777,1159,35
11205,25184356,43002,20758,22244,1.71,32112,16727,12427,2399,10052,4256,3442,2722,2760,4698,8836,6848,334,1659,1409,1652,891,285,14656,73758,31329,30994,33308,2314,29
