GID,,Pos,Name,Team,Opponent,Home/Away,Salary,Salary Change,Points,GP,Pts_Game,Pts_G_$,Pts_G(alt),Bye week,PLAYS,RUN,RYD,RTD,TARGETS,REC,PYDS,PTD,FUM,INT,PERF,LAST,Connections
2928,35,RB,"Hill, Jeremy",cin,hou,H,5300,100,78.9,8,9.86,1.86,6.2,7,110,104,344,5,6,5,35,1,2,0,0,6.2,24
2696,36,RB,"Foster, Arian",hou,cin,A,0,0,78,4,19.5,0,0,9,91,63,163,1,28,22,227,2,1,0,0,0,28
2856,37,RB,"Hillman, Ronnie",den,kan,H,4000,-600,76.6,8,9.58,2.39,0.1,7,107,95,392,4,12,8,16,0,0,0,0,0.1,28
2969,38,RB,"Crowell, Isaiah",cle,pit,A,3400,0,74.3,9,8.26,2.43,9.4,11,122,107,328,1,15,14,164,1,0,0,0,9.4,26
2900,39,RB,"Randle, Joseph",dal,tam,A,0,-4000,74,6,12.33,0,0,6,86,76,313,4,10,10,87,0,0,0,0,0,27
2552,40,RB,"Lynch, Marshawn",sea,ari,H,6700,6700,73.7,6,12.28,1.83,0,9,122,103,375,2,19,12,72,0,0,0,0,0,21
2991,41,RB,"Gordon, Melvin",sdg,,H,0,-4000,71.1,9,7.9,0,8.6,10,139,114,413,0,25,21,118,0,3,0,0,8.6,20
2920,42,RB,"Robinson, Khiry",no,was,A,0,-3000,70.5,8,8.81,0,0,11,76,56,180,4,20,17,115,0,0,0,0,0,22
2484,43,RB,"Sproles, Darren",phi,mia,H,3600,-200,66.8,8,8.35,2.32,4.6,8,78,39,143,1,39,29,199,0,0,0,0,4.6,28
2924,44,RB,"Anderson, C.J.",den,kan,H,3800,-300,66.4,8,8.3,2.18,4.8,7,108,88,315,1,20,15,109,0,0,0,0,4.8,28
3953,45,RB,"McCluster, Dexter",ten,car,H,3300,-100,64.7,8,8.09,2.45,5.7,4,83,49,235,1,34,25,204,1,2,0,0,5.7,22
2775,46,RB,"Spiller, C.J.",no,was,A,3000,-100,64.4,8,8.05,2.68,2,11,58,29,109,0,29,26,208,2,0,0,0,2,22
3552,47,RB,"Jones, Matt",was,no,H,3300,100,62.5,7,8.93,2.71,5.4,8,97,85,331,3,12,12,210,1,3,0,0,5.4,27
2665,48,RB,"Reece, Marcel",oak,min,H,3500,500,61.1,8,7.64,2.18,2.1,6,29,5,28,0,24,20,203,3,0,0,0,2.1,7
2896,49,RB,"Lacy, Eddie",gb,det,H,5500,-600,61,8,7.63,1.39,0,7,98,83,308,2,15,10,92,0,1,0,0,0,4
2915,50,RB,"Thompson, Chris",was,no,H,3200,-100,60.1,7,8.59,2.68,4.1,8,58,21,174,0,37,26,194,1,0,0,0,4.1,27
2940,51,RB,"Andrews, Antonio",ten,car,H,3700,100,60,6,10,2.7,12.1,4,96,84,298,2,12,9,100,0,0,0,1,12.1,22
2995,52,RB,"Abdullah, Ameer",det,gb,A,3400,3400,57.9,8,7.24,2.13,0,9,91,68,240,1,23,14,120,1,1,0,0,0,29
2987,53,RB,"West, Charcandrick",kan,den,A,4800,4800,57.7,6,9.62,2,0,9,88,69,317,3,19,9,59,0,1,0,0,0,24
5402,54,RB,"Rawls, Thomas",sea,ari,H,3500,3500,53.4,7,7.63,2.18,0,9,73,69,376,1,4,3,8,0,0,0,0,0,21
2880,55,RB,"Dunbar, Lance",dal,tam,A,0,0,52.2,4,13.05,0,0,6,28,5,67,0,23,21,215,0,0,0,0,0,27
5371,56,RB,"Langford, Jeremy",chi,stl,A,4800,800,50.3,7,7.19,1.5,25.2,7,83,65,225,4,18,12,210,1,0,0,1,25.2,30
2960,57,RB,"Blue, Alfred",hou,cin,A,4000,4000,49.8,7,7.11,1.78,0,9,83,74,273,1,9,8,55,0,0,0,0,0,28
2908,58,RB,"Juszczyk, Kyle",bal,jac,H,3000,3000,44.9,8,5.61,1.87,0,9,24,0,0,0,24,23,196,2,0,0,0,0,26
2871,59,RB,"Morris, Alfred",was,no,H,3300,0,43.1,8,5.39,1.63,1,8,117,110,405,0,7,9,43,0,0,0,0,1,27
2520,60,RB,"Jackson, Fred",sea,ari,H,3000,3000,42.6,8,5.33,1.78,0,9,30,11,54,0,19,17,152,1,1,0,0,0,21
2927,61,RB,"Sankey, Bishop",ten,car,H,3000,-200,42.2,7,6.03,2.01,0,4,56,41,166,1,15,8,73,1,1,0,0,0,22
2879,62,RB,"Polk, Chris",hou,cin,A,3200,3200,41.4,8,5.18,1.62,0,9,71,48,156,1,23,12,78,0,0,0,0,0,28
2892,63,RB,"Ellington, Andre",ari,sea,A,3700,3700,41.2,5,8.24,2.23,0,9,34,24,160,2,10,6,82,0,1,0,0,0,28
