zip,total,sub10k,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-60,60-75,75-100,100-125,125-150,150-200,above200
10172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10280,4320,158,19,65,29,92,52,99,89,63,112,238,352,505,452,592,1403
10282,2534,68,15,21,0,23,7,0,0,17,111,96,199,160,51,210,1556
10301,14093,1488,655,701,732,495,555,418,504,503,970,1391,1883,1272,878,882,766
10302,5996,854,277,253,370,378,116,216,257,149,379,413,890,365,428,431,220
10303,8062,1301,489,315,406,267,310,308,328,140,590,622,1077,524,705,369,311
10304,14475,1540,637,700,718,763,571,667,750,619,907,1290,1382,1388,822,798,923
10305,14884,850,672,703,604,760,597,450,504,544,864,1324,2201,1813,1038,1294,666
10306,20241,1005,671,1004,672,773,844,753,681,538,1168,1602,2507,2715,1489,2387,1432
10307,4953,118,295,131,271,135,90,183,143,67,335,353,705,586,486,479,576
10308,10708,377,295,427,363,300,315,318,231,248,657,1140,1581,1416,825,1382,833
10309,11100,511,377,251,352,288,255,240,338,261,774,879,1740,1319,809,1267,1439
10310,8387,930,343,517,395,370,290,215,220,228,531,640,1127,736,649,790,406
10311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10312,21208,852,609,492,610,627,546,683,533,640,1246,2056,3184,2509,2148,2467,2006
10314,30972,1415,1061,918,1146,1141,935,1061,1194,802,1912,3150,4452,3723,2548,3432,2082
10451,17862,3579,2295,1510,1127,806,1285,947,1057,559,1117,1356,1190,562,176,155,141
10452,25008,4575,3259,2865,1818,1985,1382,1012,1374,1096,1868,1307,1237,754,224,177,75
10453,26059,5458,3179,2764,1710,1959,1652,1201,1211,946,1632,1692,1603,636,159,186,71
10454,12483,3105,1809,1454,1124,711,645,547,453,466,594,478,570,231,42,155,99
10455,13690,3284,1715,1175,1095,857,902,801,483,454,907,759,619,306,212,49,72
10456,29156,6540,3673,2693,2506,2082,1588,1292,1187,1158,1881,1643,1355,772,370,384,32
10457,22819,4563,2741,2029,2115,1474,1438,1256,1346,691,1281,1383,1169,714,301,260,58
10458,25863,5050,3370,2295,2286,1313,1507,1237,1193,789,1581,1813,1783,954,334,221,137
10459,15427,3540,1826,1327,1363,974,839,577,681,600,1073,1033,662,481,217,143,91
10460,19534,4294,2533,1853,1568,1191,1251,906,805,560,1126,1370,967,595,239,176,100
10461,19506,1573,1061,963,959,986,1165,500,1017,1149,1436,1765,2485,1947,991,821,688
10462,28928,3338,2067,1543,1464,1514,1547,1156,1758,1596,2227,3217,3617,1758,967,749,410
10463,27725,2285,1580,1390,1736,1287,1216,1092,1171,1062,1922,2784,3468,2052,1349,1737,1594
10464,2141,119,88,63,140,77,0,28,39,26,199,272,247,311,273,140,119
10465,15956,1166,943,799,742,395,505,517,603,557,1082,1115,2337,1995,1314,1059,827
10466,22615,2998,1598,1459,1110,1095,1266,1298,1022,718,1894,2045,2713,1367,799,853,380
10467,34861,5465,3045,2748,2062,1931,1812,1880,1539,1309,2994,3140,3398,1819,868,586,265
10468,24195,3619,2363,1837,1538,1527,1569,1380,1180,1064,2134,1884,2423,939,300,250,188
10469,21837,2045,864,948,1147,988,908,1166,812,745,1676,2467,2986,1813,1333,1240,699
10470,5813,406,359,238,223,285,299,229,161,255,547,562,887,636,269,324,133
10471,8848,577,297,231,276,320,240,257,451,357,661,807,1331,918,695,520,910
10472,21207,3604,2105,1918,1583,1265,1146,1065,1034,665,1601,1479,1666,1010,516,323,227
10473,20427,2801,1754,1706,1164,1092,1238,1071,769,782,1335,1802,1814,1479,648,582,390
10474,3588,689,527,268,223,270,272,218,178,84,287,266,162,96,30,8,10
10475,18255,1447,1080,1002,936,1045,1324,1335,855,766,1560,1676,2323,1074,729,757,346
10501,342,5,0,5,0,6,6,5,0,0,19,27,25,65,35,58,86
10502,1817,0,19,48,89,21,17,59,37,15,101,49,299,82,98,369,514
10503,81,0,0,0,12,15,0,0,0,0,0,0,0,0,14,0,40
10504,2450,24,31,5,37,56,41,52,9,30,96,125,165,264,94,196,1225
10505,212,0,16,0,0,0,0,22,18,4,0,0,0,28,12,30,82
10506,1824,23,0,17,53,42,22,47,18,49,94,19,108,171,138,204,819
10507,1936,52,77,67,78,181,97,74,0,61,116,255,152,186,127,135,278
10509,6702,215,111,141,165,208,306,147,161,56,404,767,862,766,774,711,908
10510,3369,117,75,92,61,16,86,21,71,78,79,130,237,242,321,412,1331
10511,881,17,5,36,28,34,8,9,25,9,55,89,178,114,44,142,88
10512,9060,301,180,296,217,215,368,350,252,289,564,661,1236,1217,901,983,1030
10514,4098,61,12,0,77,55,59,28,42,23,117,113,207,419,241,465,2179
10516,2205,88,74,102,29,77,81,76,73,34,137,164,314,252,233,197,274
10517,212,0,0,0,19,0,0,0,0,0,13,8,88,29,12,13,30
10518,500,0,18,0,11,0,18,0,24,16,34,12,14,0,47,49,257
10519,99,0,0,0,0,0,0,0,10,0,26,0,0,0,63,0,0
10520,5197,161,149,117,112,189,201,145,105,211,359,392,494,382,437,743,1000
10522,3717,20,53,91,23,61,194,67,25,163,263,281,425,447,370,383,851
10523,2627,68,24,39,41,76,67,43,85,73,156,388,443,390,236,306,192
10524,1490,31,12,2,28,30,38,37,7,59,64,133,161,185,157,216,330
10526,650,0,11,41,0,7,20,32,8,7,46,45,38,120,17,34,224
10527,352,0,5,0,3,13,0,0,7,0,23,13,15,4,35,81,153
10528,4522,91,169,162,158,106,147,172,120,90,168,382,349,457,412,496,1043
10530,5737,133,187,169,124,106,259,110,150,165,401,483,677,687,460,633,993
10532,1610,40,17,0,28,32,38,6,45,66,104,77,252,232,129,251,293
10533,2702,50,51,61,23,79,21,113,19,12,80,159,278,216,240,262,1038
10535,240,0,12,0,0,50,0,26,0,0,43,0,56,0,12,41,0
10536,3436,118,41,77,22,63,27,77,56,93,81,204,294,334,212,445,1292
10537,734,64,17,0,28,15,37,52,16,16,29,86,82,101,85,10,96
10538,6034,119,41,104,79,54,126,90,43,182,250,339,569,498,328,732,2480
10541,8551,94,165,314,216,303,329,309,96,146,469,566,1004,979,1062,1085,1414
10543,7745,424,291,277,182,340,220,298,165,123,531,713,689,583,608,713,1588
10545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10546,404,0,0,33,0,0,0,0,0,33,0,30,64,77,53,32,82
10547,2590,119,119,129,102,84,53,108,41,59,43,242,394,284,307,330,176
10548,1202,21,11,71,66,48,16,7,52,21,103,125,233,62,48,119,199
10549,5768,203,211,130,199,160,206,179,177,128,472,312,762,466,401,610,1152
10550,13580,1390,1051,912,922,667,921,805,893,660,1109,1203,1236,740,501,315,255
10552,8691,625,296,372,420,447,289,264,401,237,497,819,1270,694,622,650,788
10553,3427,278,132,136,187,124,91,181,186,134,183,266,670,336,183,257,83
10560,1718,13,7,32,10,47,42,59,32,29,113,134,113,189,133,267,498
10562,9759,212,415,400,399,320,329,284,423,315,686,1047,1147,958,690,1032,1102
10566,9088,815,506,422,397,458,362,308,505,578,636,811,908,936,482,492,472
10567,6693,155,95,229,116,161,172,191,145,100,336,527,792,699,788,764,1423
10570,4122,49,99,33,30,87,50,107,69,166,125,341,414,483,404,428,1237
10573,12666,573,503,549,420,647,603,550,629,179,999,1054,1621,942,782,974,1641
10576,1894,28,8,35,36,28,75,8,90,29,68,74,109,174,127,172,833
10577,857,27,0,17,0,0,0,30,0,0,38,16,50,126,47,40,466
10578,215,0,0,21,0,0,0,0,26,0,25,0,9,37,42,36,19
10579,3237,93,64,56,75,77,234,51,93,47,99,149,444,301,304,618,532
10580,5937,163,127,63,159,73,121,137,109,32,257,120,500,471,362,774,2469
10583,13581,255,206,164,267,200,226,142,167,278,411,649,806,1353,939,1529,5989
10588,999,0,0,62,15,18,46,158,8,0,121,163,80,81,97,117,33
10589,4006,111,76,95,88,114,70,119,33,197,202,335,468,465,286,684,663
10590,2458,14,20,34,42,69,37,23,91,28,57,262,226,258,215,363,719
10591,8781,214,433,438,320,297,387,270,368,223,653,661,957,688,443,926,1503
10594,1572,24,17,96,22,29,32,16,17,41,55,160,168,138,156,279,322
10595,2265,137,32,56,34,66,49,32,52,31,120,197,238,304,166,387,364
10596,632,21,25,19,76,17,37,19,10,36,77,66,100,38,77,0,14
10597,334,0,0,0,0,0,0,8,0,0,0,0,58,0,22,40,206
10598,10344,164,208,205,305,287,253,420,293,210,481,657,1275,1276,916,1547,1847
10601,5427,306,286,289,228,210,240,146,156,107,338,593,701,474,319,386,648
10603,6618,226,171,190,161,137,115,232,238,307,398,540,911,987,435,821,749
10604,3822,80,183,190,119,101,107,202,116,61,357,285,423,405,248,423,522
10605,6815,264,90,212,173,98,248,145,324,166,395,416,748,527,541,908,1560
10606,5603,198,372,224,135,219,240,261,314,114,332,405,575,549,470,526,669
10607,2157,51,38,37,97,41,55,56,51,22,43,132,143,187,205,343,656
10701,21548,2521,1423,1306,1395,1281,1159,902,633,905,1538,1733,2327,1316,1139,1066,904
10703,7088,476,304,420,384,334,350,238,445,228,379,505,1122,812,471,371,249
10704,12439,461,369,636,485,541,423,499,465,352,1080,1476,1888,1555,600,1097,512
10705,13508,1739,731,683,797,769,612,600,636,405,953,1372,1421,883,647,686,574
10706,3324,128,92,72,60,78,129,46,33,16,167,249,265,280,296,387,1026
10707,4031,147,100,170,68,93,136,131,109,69,230,500,491,449,264,488,586
10708,9251,324,260,263,378,283,245,290,248,200,425,658,1347,896,732,739,1963
10709,3636,64,76,53,63,81,107,111,189,223,268,287,432,364,229,441,648
10710,10320,451,239,388,403,374,364,329,294,196,514,1180,1566,1223,947,938,914
10801,13916,925,728,771,733,689,653,399,721,434,1002,1224,1465,1384,992,1005,791
10803,3945,57,19,61,93,71,24,92,42,47,189,291,423,376,260,480,1420
10804,5185,95,68,131,94,89,64,167,56,49,177,258,423,403,394,679,2038
10805,7942,418,354,294,383,433,344,438,499,472,808,691,1053,814,276,409,256
10901,8706,349,318,291,345,250,159,244,292,316,541,710,1242,906,628,791,1324
10910,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
10911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10913,1662,71,54,27,17,10,17,32,50,45,67,88,186,170,204,256,368
10914,104,0,0,0,0,0,0,0,15,0,0,0,0,0,68,0,21
10915,70,0,0,38,0,0,0,0,0,32,0,0,0,0,0,0,0
10916,1283,44,13,0,48,52,56,11,46,0,57,125,158,179,127,228,139
10917,653,30,18,0,27,11,0,57,0,11,68,65,74,48,63,69,112
10918,3993,116,72,102,101,104,95,180,47,150,421,414,577,455,298,516,345
