Name,ELA_NumTested,ELA_L1,ELA_L2,ELA_L3,ELA_L4,ELA_meanscore,M_NumTested,M_L1,M_L2,M_L3,M_L4,M_meanscore
SOUTH BRONX CHARTER SCHOOL FOR INTERNATIONAL CULTURES AND THE ARTS,130,25,72,31,2,304.1769,133,26,60,39,8,305.4887
SOUTH BRONX CLASSICAL CHARTER SCHOOL,160,3,66,74,17,321.8688,160,0,25,73,62,335.0313
ST. HOPE LEADERSHIP ACADEMY CHARTER SCHOOL,277,164,95,17,1,279.2996,284,150,101,26,7,286.4014
STATEN ISLAND COMMUNITY CHARTER SCHOOL,129,49,51,27,2,291.4186,128,62,41,19,6,287.2031
SUCCESS ACADEMY CHARTER SCHOOL - BED-STUY 1,85,2,14,67,2,330.4471,85,0,2,15,68,355.7765
SUCCESS ACADEMY CHARTER SCHOOL - BRONX 1,161,13,52,79,17,320.4596,161,0,12,45,104,349.3975
SUCCESS ACADEMY CHARTER SCHOOL - BRONX 2,171,8,45,87,31,325.3626,171,1,2,28,140,359.4386
SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 1,526,25,190,226,85,321.6407,526,2,35,152,337,350.6521
SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 2,400,23,133,187,57,321.385,400,3,34,108,255,347.5425
SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 3,395,11,109,195,80,326.1139,394,1,21,95,277,352.0178
SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 4,277,14,99,122,42,321.787,276,1,16,69,190,350.0616
SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 5,165,6,47,89,23,323.5939,165,0,7,43,115,353.3697
SUCCESS ACADEMY CHARTER SCHOOL - UPPER WEST,75,0,12,45,18,340.6933,75,0,0,9,66,362.9467
SUMMIT ACADEMY CHARTER SCHOOL,167,74,72,20,1,284.6108,166,54,77,30,5,295.9096
TEACHING FIRMS OF AMERICA-PROFESSIONAL PREPARATORY CHARTER SCHOOL,57,29,17,10,1,291.4561,57,15,26,10,6,299.5088
TECH INTERNATIONAL CHARTER SCHOOL,207,86,87,30,4,287.1304,205,102,72,24,7,287.8585
THE CULTURAL ARTS ACADEMY AT SPRING CREEK CHARTER SCHOOL,121,37,48,35,1,297.2562,122,59,47,13,3,284.2459
THE EQUALITY CHARTER SCHOOL,234,80,121,28,5,288.3162,234,57,101,64,12,302.7863
THE EQUITY PROJECT CHARTER SCHOOL,480,221,200,50,9,284.3688,480,135,195,115,35,303.6729
THE ETHICAL COMMUNITY CHARTER SCHOOL,119,60,44,13,2,284.2521,119,69,36,11,3,280.7647
THE OPPORTUNITY CHARTER SCHOOL,183,117,58,6,2,271.2732,184,134,44,5,1,268.4076
THE UFT CHARTER SCHOOL,428,231,151,44,2,283.1963,428,216,137,50,25,288.6752
UNITY PREP CHARTER SCHOOL,132,50,71,7,4,285.0985,131,80,39,10,2,274.458
VOICE CHARTER SCHOOL OF NEW YORK,218,53,81,73,11,305.555,217,17,48,82,70,326.2396
WILLIAMSBURG COLLEGIATE CHARTER SCHOOL,316,55,158,87,16,305.6171,315,19,83,144,69,327.7683
