Location Name,BEDS Number,Zip
P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,320900010218,10452
I.S. 219 New Venture School,320900010219,10456
Bronx Collegiate Academy,320900011227,10457
I.S. 229 Roland Patterson,320900010229,10453
P.S. 230 Dr Roland N. Patterson,320900010230,10453
Eagle Academy for Young Men,320900011231,10457
I.S. 232,320900010232,10453
P.S. 236 Langston Hughes,320900010236,10453
"Urban Assembly School for Applied Math and Science, The",320900011241,10457
Eximius College Preparatory Academy: A College Board School,320900011250,10456
Mott Hall Bronx High School,320900011252,10457
Bronx Center for Science and Mathematics,320900011260,10456
Validus Preparatory Academy: An Expeditionary Learning School,320900011263,10457
The New American Academy at Roberto Clemente State Park,320900010274,10453
Leadership Institute,320900011276,10457
The Walton Avenue School,320900010294,10452
Morris Academy for Collaborative Studies,320900011297,10456
I.S. X303 Leadership & Community Service,320900010303,10453
Lucero Elementary School,320900010311,10452
I.S. 313 School of Leadership Development,320900010313,10457
Bronx Writing Academy,320900010323,10456
Bronx Early College Academy for Teaching & Learning,320900011324,10456
Urban Science Academy,320900010325,10456
Comprehensive Model School Project M.S. 327,320900010327,10452
New Millennium Business Academy Middle School,320900010328,10456
DreamYard Preparatory School,320900011329,10457
I.S. 339,320900010339,10457
New Directions Secondary School,320900011350,10457
The Highbridge Green School,320900010361,10452
Academy for Language and Technology,320900011365,10453
Bronx International High School,320900011403,10456
School for Excellence,320900011404,10456
Bronx High School of Business,320900011412,10457
Bronx High School for Medical Science,320900011413,10457
Jonathan Levin High School for Media and Communications,320900011414,10457
The Family School,320900010443,10456
Grant Avenue Elementary School,320900010449,10456
Science and Technology Academy: A Mott Hall School,320900010454,10456
Sheridan Academy for Young Leaders,320900010457,10456
"Bronx School for Law, Government and Justice",320900011505,10451
Frederick Douglass Academy III Secondary School,320900011517,10456
Bronx Leadership Academy High School,320900011525,10457
High School for Violin and Dance,320900011543,10456
Mount Eden Children's Academy,320900010555,10452
Claremont International HS,320900011564,10457
Young Women's Leadership School of the Bronx,320900010568,10453
Pre-K Center District 09,,10452
P.S. 3 Raul Julia Micro Society,321000010003,10457
Milton Fein School,321000010007,10463
P.S. 008 Issac Varian,321000010008,10458
P.S. 9 Ryer Avenue Elementary School,321000010009,10458
P.S. X015 Institute for Environmental Learning,321000010015,10453
"P.S./M.S. 20 P.O.George J. Werdann, III",321000010020,10467
