BEDS,Name,Borough,NumHomeless
331500861016,NEW DAWN CHARTER HIGH SCHOOL,KINGS,19
310600860887,NEW HEIGHTS ACADEMY CHARTER SCHOOL,NEW YORK,44
331800860983,NEW HOPE ACADEMY CHARTER SCHOOL,KINGS,9
320800861017,NEW VISIONS CHARTER HIGH SCHOOL FOR ADVANCED MATH AND SCIENCE II,BRONX,16
332200861053,NEW VISIONS CHARTER HIGH SCHOOL FOR ADVANCED MATH AND SCIENCE III,KINGS,10
321000860704,NEW VISIONS CHARTER HIGH SCHOOL FOR THE HUMANITIES (HUM),BRONX,25
320700861018,NEW VISIONS CHARTER HIGH SCHOOL FOR THE HUMANITIES II,BRONX,15
332200861051,NEW VISIONS CHARTER HIGH SCHOOL FOR THE HUMANITIES III,KINGS,14
353100860984,NEW WORLD PREPARATORY CHARTER SCHOOL,RICHMOND,14
310400861061,NEW YORK CENTER FOR AUTISM CHARTER SCHOOL,NEW YORK,0
320700860926,"NEW YORK CITY CHARTER HIGH SCHOOL FOR ARCHITECTURE, ENGINEERING & CONSTRUCTION INDUSTRIES",BRONX,12
320700861005,NEW YORK CITY MONTESSORI CHARTER SCHOOL,BRONX,27
310300860963,NEW YORK FRENCH AMERICAN CHARTER SCHOOL,NEW YORK,26
332300860936,OCEAN HILL COLLEGIATE CHARTER SCHOOL,KINGS,19
310300860871,THE OPPORTUNITY CHARTER SCHOOL,NEW YORK,25
343000860836,OUR WORLD NEIGHBORHOOD CHARTER SCHOOL,QUEENS,
331500860927,PAVE ACADEMY CHARTER SCHOOL,KINGS,36
342700860869,PENINSULA PREPARATORY ACADEMY CHARTER SCHOOL,QUEENS,18
310400860968,RENAISSANCE CHARTER HIGH SCHOOL FOR INNOVATION,NEW YORK,35
343000860822,RENAISSANCE CHARTER SCHOOL,QUEENS,15
342900860974,RIVERTON STREET CHARTER SCHOOL,QUEENS,19
332300861007,ROADS CHARTER SCHOOL I,KINGS,17
321200861010,ROADS CHARTER SCHOOL II,BRONX,40
342800860969,ROCHDALE EARLY ADVANTAGE CHARTER SCHOOL,QUEENS,
310300860804,SISULU-WALKER CHARTER SCHOOL OF HARLEM,NEW YORK,34
320700860889,SOUTH BRONX CHARTER SCHOOL FOR INTERNATIONAL CULTURES AND THE ARTS,BRONX,56
321200860898,SOUTH BRONX CLASSICAL CHARTER SCHOOL,BRONX,12
320700861035,SOUTH BRONX CLASSICAL CHARTER SCHOOL II,BRONX,27
310500860928,ST. HOPE LEADERSHIP ACADEMY CHARTER SCHOOL,NEW YORK,29
353100860964,STATEN ISLAND COMMUNITY CHARTER SCHOOL,RICHMOND,13
320700860981,SUCCESS ACADEMY CHARTER SCHOOL - BRONX 1,BRONX,33
320900860980,SUCCESS ACADEMY CHARTER SCHOOL - BRONX 2,BRONX,30
320800861044,SUCCESS ACADEMY CHARTER SCHOOL - BRONX 3,BRONX,23
331500861023,SUCCESS ACADEMY CHARTER SCHOOL - COBBLE HILL,KINGS,13
331700861041,SUCCESS ACADEMY CHARTER SCHOOL - CROWN HEIGHTS (BROOKLYN 7),KINGS,17
331300861039,SUCCESS ACADEMY CHARTER SCHOOL - FORT GREENE (BROOKLYN 5),KINGS,11
310300860897,SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 1,NEW YORK,57
310500860921,SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 2,NEW YORK,43
310400860922,SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 3,NEW YORK,44
310300860923,SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 4,NEW YORK,48
310500860979,SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 5,NEW YORK,22
310200861043,SUCCESS ACADEMY CHARTER SCHOOL - HELL'S KITCHEN (MANHATTAN 2),NEW YORK,13
331700861040,SUCCESS ACADEMY CHARTER SCHOOL - PROSPECT HEIGHTS (BROOKLYN 6),KINGS,9
310200861042,SUCCESS ACADEMY CHARTER SCHOOL - UNION SQUARE (MANHATTAN 1),NEW YORK,15
310300861008,SUCCESS ACADEMY CHARTER SCHOOL - UPPER WEST,NEW YORK,16
331400861024,SUCCESS ACADEMY CHARTER SCHOOL - WILLIAMSBURG,KINGS,24
331400861007,SUCCESS ACADEMY CHARTER SCHOOL - BED-STUY 1,KINGS,33
331400861022,SUCCESS ACADEMY CHARTER SCHOOL BED-STUY 2,KINGS,28
332100861075,SUCCESS ACADEMY CHARTER SCHOOLS - BENSONHURST,KINGS,9
332200861076,SUCCESS ACADEMY CHARTER SCHOOLS - BERGEN BEACH,KINGS,6
320800861074,SUCCESS ACADEMY CHARTER SCHOOLS - BRONX 4,BRONX,13
342700861077,SUCCESS ACADEMY CHARTER SCHOOLS - ROSEDALE,QUEENS,7
342900861078,SUCCESS ACADEMY CHARTER SCHOOLS - SPRINGFIELD GARDENS,QUEENS,6
310200861073,SUCCESS ACADEMY CHARTER SCHOOLS - WASHINGTON HEIGHTS,NEW YORK,20
331500860953,SUMMIT ACADEMY CHARTER SCHOOL,NEW YORK,24
331600860975,TEACHING FIRMS OF AMERICA-PROFESSIONAL PREPARATORY CHARTER SCHOOL,KINGS,36
321000861032,TECH INTERNATIONAL CHARTER SCHOOL,BRONX,16
310600860929,THE EQUITY PROJECT CHARTER SCHOOL,NEW YORK,9
331400860930,THE ETHICAL COMMUNITY CHARTER SCHOOL,KINGS,22
331800861057,THE NEW AMERICAN ACADEMY CHARTER SCHOOL,KINGS,14
321000860999,THE NEW VISIONS CHARTER HIGH SCHOOL FOR ADVANCED MATH AND SCIENCE,BRONX,36
331900860891,THE UFT CHARTER SCHOOL,KINGS,67
331300861056,UNITY PREP CHARTER SCHOOL,KINGS,15
320700860920,UNIVERSITY PREP CHARTER HIGH SCHOOL,BRONX,18
331300861006,URBAN DOVE TEAM CHARTER SCHOOL,KINGS,27
343000860932,VOICE CHARTER SCHOOL OF NEW YORK,QUEENS,34
331400861050,WILLIAMSBURG ASCEND CHARTER SCHOOL,KINGS,14
331400860865,WILLIAMSBURG CHARTER HIGH SCHOOL,KINGS,44
331400860885,WILLIAMSBURG COLLEGIATE CHARTER SCHOOL,KINGS,24
