DBN,Name,M_numtested,M_mean,M_L1,M_L2,M_L3,M_L4,ELA_numtested,ELA_mean,ELA_L1,ELA_L2,ELA_L3,ELA_L4
15K024,P.S. 024,337,287.5875,151,119,55,12,333,278.1742,194,102,32,5
15K029,P.S. 029 JOHN M. HARRIGAN,288,334.9826,16,40,102,130,289,333.5952,25,40,127,97
15K032,P.S. 032 SAMUEL MILLS SPROLE,108,318.5463,12,30,39,27,108,302.1389,28,48,26,6
15K038,P.S. 038 THE PACIFIC,165,304.7273,46,45,38,36,163,299.7239,51,61,37,14
15K039,P.S. 039 HENRY BRISTOW,149,335.0336,7,32,52,58,149,330.3423,8,40,55,46
15K051,M.S. 51 WILLIAM ALEXANDER,970,327.2701,78,243,348,301,1064,336.8628,56,147,364,497
15K058,P.S. 058 THE CARROLL,422,334.6967,29,69,141,183,418,326.0957,43,91,178,106
15K088,J.H.S. 088 PETER ROUGET,1012,302.1235,259,494,188,71,1083,297.4571,266,572,200,45
15K094,P.S. 094 THE HENRY LONGFELLOW,702,303.3746,221,205,160,116,669,287.3842,309,223,101,36
15K107,P.S. 107 JOHN W. KIMBALL,257,330.8482,15,57,90,95,256,334.082,12,48,119,77
15K124,P.S. 124 SILAS B. DUTCHER,123,297.5854,38,45,28,12,120,292.5333,50,42,22,6
15K130,P.S. 130 THE PARKSIDE,278,310.241,48,114,88,28,276,305.6123,70,112,68,26
15K131,P.S. 131 BROOKLYN,451,307.7871,114,139,124,74,435,297.131,164,157,82,32
15K136,I.S. 136 CHARLES O. DEWEY,458,278.3428,263,158,30,7,430,278.486,226,170,27,7
15K146,P.S. 146,49,315.9592,4,19,22,4,49,324.9184,2,15,23,9
15K154,THE WINDSOR TERRACE SCHOOL,218,325.3303,21,54,69,74,218,323.0413,34,43,87,54
15K169,P.S. 169 SUNSET PARK,759,314.7628,161,212,212,174,727,300.3618,237,273,159,58
15K172,P.S. 172 BEACON SCHOOL OF EXCELLENCE,244,356.2582,0,6,70,168,243,330.0206,3,62,126,52
15K230,P.S. 230 DORIS L. COHEN,596,307.255,173,164,136,123,585,305.4427,172,191,141,81
15K261,P.S. 261 PHILIP LIVINGSTON,246,312.1911,47,78,76,45,335,305.0716,87,106,108,34
15K295,P.S. 295,184,310.7391,39,64,52,29,179,307.743,49,59,45,26
15K321,P.S. 321 WILLIAM PENN,658,337.0805,37,92,222,307,666,333.8498,35,108,305,218
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,73,276.9452,49,20,4,0,72,267.3333,50,20,2,0
15K442,M.S. 442 CARROLL GARDENS SCHOOL FOR INNOVATION,148,274.6824,93,48,7,0,156,278.2308,82,61,10,3
15K443,NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,431,317.1624,50,172,136,73,484,316.3926,39,198,174,73
15K447,THE MATH & SCIENCE EXPLORATORY SCHOOL,412,333.932,18,113,126,155,464,328.1509,19,115,192,138
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,220,278.0773,139,68,10,3,244,288.0779,98,109,32,5
15K464,PARK SLOPE COLLEGIATE,84,285.5833,41,29,8,6,84,277.7143,46,33,3,2
15K497,SCHOOL FOR INTERNATIONAL STUDIES,117,281.1026,59,51,5,2,115,273.8261,67,39,6,3
15K676,RED HOOK NEIGHBORHOOD SCHOOL,84,280.2381,48,20,15,1,79,272.7089,53,21,5,0
15K821,SUNSET PARK PREP,435,303.4805,115,206,79,35,503,297.5726,119,274,91,19
16K005,P.S. 005 DR. RONALD MCNAIR,131,274.6718,83,37,9,2,127,279.4016,67,49,10,1
16K021,P.S. 021 CRISPUS ATTUCKS,284,299.2218,98,110,44,32,284,300.5141,83,113,73,15
16K025,P.S. 025 EUBIE BLAKE SCHOOL,91,286.6154,43,38,9,1,90,282.2667,47,32,11,0
16K026,P.S. 026 JESSE OWENS,94,298.2234,31,39,16,8,94,294.8511,34,39,16,5
16K028,P.S. 028 THE WARREN PREP ACADEMY,97,284.7423,49,31,14,3,95,282.9263,48,34,12,1
16K035,M.S. 035 STEPHEN DECATUR,181,295.0939,55,104,21,1,181,292.4586,56,99,22,4
16K040,P.S. 040 GEORGE W. CARVER,132,288.1894,56,52,20,4,130,292.9615,56,43,26,5
16K057,J.H.S. 057 WHITELAW REID,189,281.3704,105,66,15,3,188,279.7926,93,71,19,5
16K081,P.S. 081 THADDEUS STEVENS,179,285.5028,86,62,21,10,177,281.9096,96,54,26,1
16K243,P.S. 243K- THE WEEKSVILLE SCHOOL,116,289.8276,51,42,18,5,112,280.5714,66,32,13,1
16K262,P.S. 262 EL HAJJ MALIK EL SHABAZZ ELEMENTARY SCHOOL,304,292.4243,130,120,38,16,302,298.3907,84,132,72,14
16K267,"M.S. 267 MATH, SCIENCE & TECHNOLOGY",249,287.2209,128,78,34,9,244,287.918,88,127,22,7
